title,stemmed_text
The Lord of the Rings: The Fellowship of the Ring,young hobbit frodo baggin inherit mysteri ring uncl bilbo must leav home order keep fall hand evil creator along way fellowship form protect ringbear make sure ring arriv final destin mt doom place destroy
The Lord of the Rings: The Two Towers,frodo sam trek mordor destroy one ring power gimli legola aragorn search orc captur merri pippin along nefari wizard saruman await fellowship member orthanc tower isengard
The Lord of the Rings: The Return of the King,aragorn reveal heir ancient king gandalf member broken fellowship struggl save gondor sauron forc meanwhil frodo sam take ring closer heart mordor dark lord realm
The Lord of the Rings,fellowship ring embark journey destroy one ring end sauron reign middl earth
Gimme Shelter,landmark documentari tragic ill fate roll stone free concert altamont speedway decemb four month earlier woodstock defin love gener lay ruin desol racetrack six mile outsid san francisco
Primary,primari documentari film primari elect john f kennedi hubert humphrey primari first documentari use light equip order follow subject intim filmmak style unconvent way film creat new look documentari film camera len right middl ever drama occur
"O Brother, Where Art Thou?",deep south three escap convict search hidden treasur relentless lawman pursu journey come across mani comic charact incred situat base upon homer odyssey
Dont Look Back,wildli entertain vision one twentieth centuri greatest artist bob dylan surround teen fan get heat philosoph joust journalist kick back fellow musician joan baez donovan alan price
Freaks,circu beauti trapez artist agre marri leader side show perform deform friend discov marri inherit
Groundhog Day,narcissist tv weatherman along attract distant produc mawkish cameraman sent report groundhog day small town punxsutawney find repeat day
Dracula,power ruthless vampir name count dracula arriv london prey young socialit women stand vampir way group concern men enigmat dr abraham van hels
Donnie Darko,narrowli escap bizarr accid troubl teenag plagu vision larg bunni rabbit manipul commit seri crime
Brokeback Mountain,two modern day cowboy meet shepherd job summer two share raw power summer togeth turn lifelong relationship conflict
All Quiet on the Western Front,young soldier face profound disillusion soul destroy horror world war togeth sever young german soldier experi horror war evil conceiv sign fight eventu becom sad torment confus purpos
The Secret Life of Words,touch stori deaf girl sent oil rig take care man blind terribl accid girl special abil commun men board especi patient share intim moment togeth chang live forev
48 Hrs.,hard nose cop reluctantli team wise crack crimin temporarili parol order track killer
Star Trek: The Motion Picture,destruct space entiti spot approach earth admir kirk resum command starship enterpris order intercept examin hope stop
Lost in Translation,two lost soul visit tokyo young neglect wife photograph wash movi star shoot tv commerci find odd solac pensiv freedom real compani away live america
Star Trek II: The Wrath of Khan,centuri feder starship u enterpris routin train maneuv admir jame kirk william shatner seem resign fact inspect may well last space mission career khan back aid exil band genet supermen khan ricardo montalban brilliant renegad centuri earth raid space station regula one stolen top secret devic call project genesi wrest control anoth feder starship set pursuit enterpris determin let noth stand way mission kill admir kirk even mean univers armageddon
The Dark Knight,batman rais stake war crime help lt jim gordon district attorney harvey dent batman set dismantl remain crimin organ plagu street partnership prove effect soon find prey reign chao unleash rise crimin mastermind known terrifi citizen gotham joker
Star Trek III: The Search for Spock,admir kirk bridg crew risk career steal decommiss enterpris return restrict genesi planet recov spock bodi
Ocean's Eleven,less hour parol charismat thief danni ocean alreadi roll next plan one night danni hand pick crew specialist attempt steal million three la vega casino score cash danni risk chanc reconcil ex wife tess
Edward Scissorhands,small suburban town receiv visit castaway unfinish scienc experi name edward
Ocean's Twelve,danni ocean reunit old flame rest merri band thiev carri three huge heist rome pari amsterdam europol agent hot heel
Breakfast at Tiffany's,holli golightli eccentr new york citi playgirl determin marri brazilian millionair young writer paul varjak move apart build past threaten get way
Back to the Future Part II,marti doc wacki sequel blockbust time travel duo head nip mcfli famili woe bud thing go awri thank bulli biff tannen peski sport almanac last ditch attempt set thing straight marti find bound face face teenag parent
K-PAX,prot patient mental hospit claim far away planet psychiatrist tri help begin doubt explan
Star Trek IV: The Voyage Home,centuri mysteri alien power threaten earth evapor ocean destroy atmospher frantic attempt save mankind kirk crew must time travel back san francisco find world punk pizza exact chang buse alien anyth ever encount far reach galaxi thrill action pack star trek adventur
Predator 2,ten year band mercenari first battl viciou alien invis creatur anoth world return earth time drawn gang rule ravag citi lo angel start murder drug dealer detect lieuten mike harrigan polic forc set captur creatur ignor warn mysteri govern agent stay away
28 Days Later,twenti eight day killer viru accident unleash british research facil small group london survivor caught desper struggl protect infect carri anim human viru turn infect homicid maniac absolut imposs contain
Star Trek V: The Final Frontier,crew feder starship enterpris call nimbu iii planet intergalact peac negoti case kidnap find kidnapp rel spock man possess life long search planet shaka ri suppos sourc life togeth begin search mysteri planet
"20,000 Leagues Under the Sea",ship sent investig wave mysteri sink encount advanc submarin nautilu command captain nemo
Star Trek VI: The Undiscovered Country,year war feder klingon empir find brink peac summit klingon ship nearli destroy appar attack enterpris world brace may dealiest encount
Saw,obsess teach victim valu life derang sadist serial killer abduct moral wayward captur must face imposs choic horrif game surviv victim must fight win live back die tri
The Fisher King,two troubl men face terribl destini event past join togeth mission find holi grail thu save
Blown Away,blown away tell stori jimmi dove work boston bomb squad shortli dove leav forc partner kill bomb dove think might made someon know
The Interpreter,silvia broom interpret unit nation headquart overhear plan assassin american secret servic agent sent investig
Minority Report,john anderton top precrim cop late centuri technolog predict crime commit anderton becom quarri anoth investig target murder charg
The Good German,american journalist arriv berlin end world war two becom involv murder mysteri surround dead gi wash lakesid mansion potsdam negoti alli power soon investig connect search marri pre war german lover
The Wizard,corey refus let emot disturb younger brother jimmi institution two run away togeth soon join forc resourc girl notic jimmi special talent wizard video game achiev high score absolut everyth play evad parent sinist bounti hunter trio head climact showdown nation video game championship california
Jackie Brown,jacki brown flight attend get caught middl smuggl cash countri gunrunn boss cop tri use jacki get boss hatch plan help bail bondsman keep money
A Clockwork Orange,near futur britain young alexand delarg pal get kick beat rape anyon pleas destroy live other alex swoon music beethoven state eager crack juvenil crime give incarcer alex option undergo invas procedur rob person agenc time conscienc commod alex chang tune
Lucky Number Slevin,slevin mistakenli put middl person war citi biggest crimin boss constant watch slevin must tri get kill infam assassin come idea get current dilemma film mani twist turn
Sin City,welcom sin citi town beckon tough corrupt brokenheart call dark hard boil call home crook cop sexi dame desper vigilant seek reveng other lust redempt hope littl univers unlik reluct hero still tri right thing citi refus care
Sin City: A Dame to Kill For,sin citi hard boil citizen cross path revil inhabit
The Name of the Rose,centuri franciscan monk william baskervil young novic arriv confer find sever monk murder mysteri circumst solv crime william must rise church author fight shadowi conspiraci monasteri monk use intellig consider
Star Trek: Generations,captain jean luc picard crew enterpris find odd renegad scientist soran destroy entir star system one man help picard stop soran scheme dead seventi eight year
Trouble in Paradise,thief gaston monescu pickpocket lili partner crime love work perfum compani execut mariett colet two crook decid combin crimin talent rob employ alia monsieur laval gaston use posit mariett person secretari becom closer howev take thing far actual fall love mariett choos lili
Back to the Future Part III,final instal back futur trilog find marti dig trusti delorean mineshaft look doc wild west time machin break travel strand land spur problem aris doc fall pretti schoolteach clara clayton marti tangl buford tannen
Braveheart,enrag slaughter murron new bride childhood love scottish warrior william wallac slay platoon local english lord soldier lead villag revolt eventu entir countri rise english rule
To Be or Not to Be,nazi occup poland act troup becom embroil polish soldier effort track german spi
Star Trek: First Contact,borg relentless race cyborg direct cours earth violat order stay away battl captain picard crew newli commiss uss enterpris e pursu borg back time prevent invad chang feder histori assimil galaxi
Star Trek: Insurrection,alien race faction within starfleet attempt take planet regen properti fall upon captain picard crew enterpris defend planet peopl well ideal upon feder found
Star Trek: Nemesis,en rout honeymoon william riker deanna troi home planet betaz captain jean luc picard crew u enterpris receiv word starfleet coup result instal new romulan polit leader shinzon claim seek peac human back unit feder planet enemi territori captain crew make startl discoveri shinzon human slave romulan sister planet remu secret shock relationship picard
Mean Streets,small time hood must choos among love friendship chanc rise within mob
Hotel Rwanda,inspir true event film take place rwanda million tutsi kill genocid went mostli unnot rest world hotel owner paul rusesabagina hous thousand refug hotel attempt save live
Paradise Found,paradis found biographi painter paul gauguin focus person conflict citizen life famili life art scene frane incred imageri montag gauguin manag make success live south pacif opposit franc
Dead Poets Society,elit old fashion board school new england passion english teacher inspir student rebel convent seiz potenti everi day court disdain stern headmast
Arsenic and Old Lace,mortim brewster newspap drama critic playwright author known diatrib marriag suddenli fall love get marri make quick trip home tell two maiden aunt find aunt hobbi kill lone old men buri cellar
North by Northwest,advertis man roger thornhil mistaken spi trigger deadli cross countri chase
Saw III,jigsaw disappear along new apprentic amanda puppet master behind cruel intric game terrifi commun baffl polic elud captur vanish citi detect scrambl locat doctor lynn denlon jeff reinhart unawar becom latest pawn viciou chessboard
Saw II,new murder victim discov sign jigsaw hand detect eric matthew begin full investig apprehend jigsaw littl effort jigsaw get caught anoth part plan eight victim alreadi fight live time matthew join game
Indiana Jones and the Kingdom of the Crystal Skull,set cold war soviet led sword wield irina spalko search crystal skull supernatur power relat mystic lost citi gold indi coerc head peru behest young man whose friend indi colleagu professor oxley captur knowledg skull whereabout
