title,stemmed_text
Internal Affairs,keen young raymold avila join intern affair depart lo angel polic partner ami wallac soon look close activ cop denni peck whose financi hold start suggest someth shadi inde peck involv number dubiou downright crimin activ also deviou womanis clever manipul start turn attent avila
City Hall,accident shoot boy new york lead investig deputi mayor unexpectedli far reach consequ
Brewster's Millions,brewster age minor leagu basebal player stand inherit million dollar success spend million dollar day without anyth show without tell anyon task lot harder sound
O,even though black student elit palmetto grove academi star basketbal player futur nba hope odin jame ador includ team coach dean beauti daughter desi odin troubl friend hugo coach son deepli resent father prefer odin court hugo plot diabol scheme sow seed mistrust desi set motion disturb chain event erupt firestorm breathtak intens
Boomerang,marcu success advertis execut woo bed women almost compani merger find new boss ravish jacquelin treat exactli way complet traumatis work goe badli downhil
Major League II,lose alc year cleveland indian determin make world seri time howev first contend rachel phelp buy back team
Singles,romant comedi six seattl young peopl live apart build whose live revolv around citi ever expand music scene interrel stori charact progress singl scene intrigu often funni soundtrack grung fanat dream like soundgarden pearl jam mudhoney
Tremors 2: Aftershocks,supersuck desert creatur back time south border creatur worm way oil field mexico peopl wrangl veteran earl bassett survivalist burt gummer add team young punk cash fearless scientist critter stand chanc
Them!,result nuclear test gigant feroci mutant ant appear american desert southwest father daughter team entomologist join forc state polic offic first discov exist fbi agent eventu us armi erad menac spread across contin world
Blazing Saddles,town everyon seem name johnson stand way railroad order grab land robber baron hedley lemar send henchmen make life town unbear sheriff kill town demand new sheriff governor hedley convinc send town first black sheriff west
Striking Distance,come polic famili tom hardi end fight uncl murder father tom believ killer anoth cop goe record alleg demot water way duti tom along new partner jo christman navig three river look clue discov bodi time victim women tom know must find killer prove innoc
Fly Away Home,ami year old mother kill goe canada live father eccentr inventor bare know ami miser new life discov nest goos egg abandon local forest torn egg hatch ami becom mama goos winter come ami dad must find way lead bird south
Problem Child,ben heali social climb wife flo adopt fun love seven year old junior soon discov littl monster turn camp trip birthday parti even basebal game comic nightmar
National Security,two mismatch secur guard thrown togeth bust smuggl oper
Taking Lives,recruit assist montreal polic desper search serial killer assum ident victim fbi profil illeana scott know matter time killer strike promis lead museum employe might killer eyewit
The Seventh Sign,abbi pregnant woman curiou new boarder apart garag turn heaven sent speed along apocalyps bloodi river eg plagu follow scriptur word word
Mutiny on the Bounty,bounti leav portsmouth destin sail tahiti load bread fruit captain bligh anyth get fast possibl use mean keep strict disciplin arriv tahiti like paradis crew someth complet differ live hell aboard ship way back england offic fletcher christian becom leader mutini
The Majestic,set blacklist hollywood writer get car accid lose memori settl small town mistaken long lost son
The Hand that Rocks the Cradle,suburban famili choos seemingli sweet peyton flander newborn nanni much later infant mother clair bartel realiz peyton true intent destroy clair replac famili nail bite suspens build quickli chill psycholog thriller decept bitter reveng
Heist,joe moor job love thief job goe sour get caught secur camera tape fenc bergman reneg money owe wife may betray fenc young lieuten moor partner bobbi blane util man pinki pincu find broke betray blackmail moor forc commit crew one last big job
The Animal,loser marvin mang involv horribl car accid brought back life derang scientist half man half anim newfound power awesom advers side effect could take life marvin must fight control crazi primal urg around new squeez rianna rival sgt sisk think one cool cat
Riding in Cars with Boys,singl mother dream becom writer son age goe fail marriag drug addict father
Presumed Innocent,rusti sabich deputi prosecutor engag obsess affair cowork murder soon accus crime fight clear name becom whirlpool lie hidden passion
House of Sand and Fog,behrani iranian immigr buy california bungalow think fix sell make enough money send son colleg howev hous legal properti former drug addict kathi lose hous unfair legal disput counti left nowher go want hous back hire lawyer befriend polic offic neither kathi behrani broken law find involv difficult moral dilemma
Hide and Seek,david callaway tri piec togeth life wake wife suicid left rais nine year old daughter emili david first amus discov emili creat imaginari friend name charli long charli develop sinist violent side david struggl daughter grow emot problem come frighten realis charli figment emili imagin
Jump!,jump psycholog drama reveal first time extraordinari circumst behind unjust murder trial young jew philipp halsman would later becom sought celebr portrait photograph gener
The Final Cut,set world memori implant alan hakman cutter someon power final edit peopl record histori latest assign put great danger
Head Above Water,judg georg bring young wife nathali remot island vacat georg accompani neighbor nathali childhood friend lanc fish trip nathali spend time ex kent kent end dead next morn nathali tri hide evid husband get home bodi found event previou night unravel unexpect revel
Eddie,eddi new york limo driver fanat follow new york knick profession basketbal team team struggl mediocr record mid season wild bill burgess new owner public relat gimmick stage honorari coach contest eddi win fan love wild bill fire coach hire take bunch overpaid prima
Back To Africa,overview found
Vera Drake,abortionist vera drake find belief practic clash more britain conflict lead tragedi famili
King Lines,king line follow chri sharma search planet greatest climb south american fantasi boulder sweep limeston wall europ sharma find climb hardest spectacular rout coast mallorca discov outrag project yet foot arch rise mediterranean sea
The Associate,laurel ayr businesswoman tri make unfortun work invest firm work senior investor like frank peterson grab credit leav start firm tri find client laurel pretend male partner name robert cutti start well client want meet cutti difficult sinc exist
My Fair Lady,snobbish phonet professor agre wager take flower girl make present high societi
Pete's Dragon,pete young orphan run away main fish town best friend lovabl sometim invis dragon name elliott taken kind lighthous keeper nora father elliott prank play land big troubl crook salesmen tri captur elliott gain pete must attempt dare rescu
Deal,ex gambler teach hot shot colleg kid thing play card find pull world seri poker prot g toughest competit
Fortress 2,year origin fortress movi brennick famili still run final give surrend find imprison new sophist fortress prison outer space brennick man give easili year old son wait back earth go pack seriou assault evil corpor
The Mosquito Coast,alli fox american inventor exhaust perceiv danger degrad modern societi decid escap wife children beliz jungl tri mad determin creat utopian commun disastr result
Tess,strong will peasant girl sent father estat local aristocrat capit rumor famili line fate visit commenc epic narr sex class betray reveng
Earthquake,variou interconnect peopl struggl surviv earthquak unimagin magnitud hit lo angel california
The Puzzle,overview found
La Sceneggiatura,overview found
Amore Estremo,overview found
Starship Troopers 3: Marauder,war bug continu feder starship crash land distant alien planet om strand belov leader sky marshal anok sever other includ come tough pilot lola beck colonel gener johnni rico reluct hero origin bug invas planet p lead team trooper dare rescu mission
Ladder 49,watch eye mentor captain mike kennedi probationari firefight jack morrison matur season veteran baltimor fire station howev jack reach crossroad sacrific made put harm way innumer time significantli impact relationship wife kid
Human Traffic,five twenti someth friend spend drug fuel weekend cardiff wale
The Princess Diaries 2: Royal Engagement,mia thermopoli colleg graduat way genovia take duti princess best friend lilli also join summer mia continu princess lesson ride hors side saddl archeri royal complic life turn upsid learn take crown queen earlier expect
Nuns on the Run,brian charli work gangster boss learn want leav set kill help rob local triad drug deal profit b amp c decid steal money escap go plan seek refug nun teacher train school
Confessions of a Teenage Drama Queen,teenag mari elizabeth stepp k lola move mother two younger twin sister new york suburb dellwood new jersey feel cultur entertain world end school displac lola becom close friend unpopular ella also great fan favorit rock band sidarthur howev popular girl school carla santini disput lead role adapt pygmalion lola also leadership mate last concert sidarthur sold lola plan ella travel new york buy ticket scalper howev girl get troubl help lead singer lola idol stu wolf chang live forev
Poltergeist II: The Other Side,freel famili move dian mother effort escap trauma aftermath carol ann abduct beast beast put easili appear ghostli apparit reverend kane relig zealot respons death mani follow goal simpl want angel carol ann
The Rescuers Down Under,lawless poacher want captur majest rare golden eagl kidnap boy know find bird worri rescu aid societi top agent heroic mice miss bianca bernard fli australia save day accompani fearless duo bumbl albatross wilbur local field oper jake kangaroo rat
The Prince & Me,fairi tale love stori pre med student paig fall love danish princ eddi refus follow tradit parent come us quench thirst rebellion paig edward come two differ world undeni attract
Laws of Attraction,amidst sea litig two new york citi divorc lawyer find love
The Electric Horseman,former champion rodeo rider reduc use saddl skill promot breakfast cereal gaudi la vega show ask perform million hors discov dope remain docil flee desert astrid beast act defianc stori hungri femal report give chase
La Paloma. Sehnsucht. Weltweit,overview found
Back to Normandy,filmmak return normandi thirti year work movi base local homicid tri find actor work project
Maroa,eleven year old petti crimin maroa live violent grandmoth brigida caraca boyfriend carlo involv shoot maroa arrest sent school joaquin conduct youth orchestra ask natur talent maroa join day revolv around class joaquin shi unconvent teacher give immedi interest talent young girl lack notion disciplin joaquin person offer hope midst reject find maroa world also chang forev
The Ruins,american ami staci jeff eric look fun sunni holiday mexico get much visit archaeolog dig jungl
National Lampoon's Vacation,clark griswold quest take famili quest walley world theme park vacat thing go exactli plan
Christmas Vacation 2: Cousin Eddie's Island Adventure,though eddi fire right christmastim boss send famili south pacif vacat hope eddi sue bitten lab monkey tuttl famili wind trap tropic island howev eddi manag provid everyon prove real man
She-Devil,cun resourc housewif vow reveng husband begin affair wealthi romanc novelist
"Honey, I Blew Up the Kid",wayn szalinski instead shrink thing tri make machin make thing grow first one machin quit accur bring nick toddler son adam see invent machin unexpectedli start work adam come right machin get zap along stuf bunni
Secrets & Lies,adopt parent dead black optometrist decid make contact birth mother shock find white
Grace Is Gone,upon hear wife kill iraq war father take two daughter road trip search right time place tell mother fate
The Merchant of Venice,venic bassanio beg friend antonio prosper merchant lend larg sum money woo portia wealthi heiress antonio invest fortun abroad turn shylock jewish moneylend ask loan
D2: The Mighty Ducks,gordon bombay hockey comeback cut short name coach team usa hockey junior goodwil game bombay reunit mighti duck introduc new player howev find distract newfound fame must regath duck defeat tournament favourit iceland
Tora! Tora! Tora!,summer unit state japan seem brink war constant embargo fail diplomaci come end tora tora tora name code word use lead japanes pilot indic surpris american cover day lead attack pearl harbor plung america second world war
Peeping Tom,loner mark lewi work film studio day night take raci photograph women also make documentari fear involv record reaction victim murder befriend helen daughter famili live apart tell vagu movi make
Spartan,u govern agent scott assign rescu daughter high rank govern offici will bend rule get thing done though scott shock find other will go even protect polit career
We Are Marshall,plane crash claim live member marshal univers footbal team fan team new coach surviv player tri keep footbal program aliv
Mysterious Skin,teenag hustler young man obsess alien abduct cross path togeth discov horribl liber truth
Music and Lyrics,wash singer given coupl day compos chart top hit aspir teen sensat though never written decent lyric life spark offbeat younger woman flair word
Lucky Luke,lucki luke becom sheriff daisi town run crimin dalton brother arriv tri get indian break peac treati attack town
The Muppet Movie,hollywood agent persuad kermit frog pursu career hollywood way meet futur muppet crew chase desper owner frog leg restaur
Mask,boy massiv facial skull deform biker gang mother attempt live normal life possibl circumst
Kinsey,kinsey portrait research alfr kinsey driven uncov privat secret nation begin kinsey scientif endeavor soon take intens person relev ultim becom unexpect journey mysteri human behavior
"See No Evil, Hear No Evil",murder take place shop david lyon deaf man fail hear gunshot fire outsid blind man walli karu hear shot cannot see perpetr arrest escap form unlik partnership chase law origin killer pair work togeth outwit
Child's Play 2,andi mother admit psychiatr hospit young boy place foster care chucki determin claim andi soul far behind
Child's Play 3,eight year pass sinc event second film chucki resurrect seek reveng andi former owner teenag enrol militari school
Ring of the Nibelungs,sword sorceri tale good heart blacksmith eyvind hide away infant princ siegfri two malevol king murder father fieri meteor sent god reveal siegfri destini send quest lifetim save crumbl kingdom claim heart true love slay nefari dragon fafnir
Mystic Pizza,three teenag girl come age work pizza parlor mystic connecticut
True,receiv enigmat phone call girlfriend francin thoma rememb mileston relationship moment met realli strang way segment pari je aim
Touching the Void,true stori joe simpson simon yate disastr nearli fatal mountain climb siula grand cordillera huayhuash peruvian and
Wild Hogs,restless readi adventur four suburban biker leav safeti subdivis head open road complic ensu cross path intimid band new mexico biker known del fuego
Patton,patton tell tale gener georg patton famou tank command world war ii film begin patton career north africa progress invas germani fall third reich side plot also speak patton numer fault temper habit toward insubordin
Wait Until Dark,flight back home sam hendrix return doll innoc acquir along way turn doll actual stuf heroin group crimin led ruthless roat follow hendrix back place retriev hendrix leav busi crook make move find blind wife susi alon apart soon life threaten game begin susi thug
Wicker Park,matthew young advertis execut chicago put life busi trip china hold think see lisa love life left without word two year earlier walk restaur one day
The Alamo,legendari true stori small band soldier sacrif live hopeless combat massiv armi order prevent tyrant smash new republ texa
Robinson Crusoe,robinson cruso flee britain ship kill friend love mari fierc ocean storm wreck ship leav strand unchart island left fend cruso seek tent surviv island meet friday tribesman save sacrif initi cruso thrill final friend defend tribe use island sacrific tribesman god time relationship chang master slave mutual respect friendship despit differ cultur religion
Bring It On: All or Nothing,transfer student rough high school tri join cheer lead squad find face head cheerlead also former school prepar cheer competit
Baby's Day Out,babi bink ask ador somewhat sickli sweet parent live huge mansion appear social page paper unfortun everyon world nice babi bink parent especi three enterpris kidnap pretend photograph newspap success kidnap babi bink harder time keep hold rascal keep one step ahead seem littl bit smarter three bumbl crimin
Baby Boom,life super yuppi j c thrown turmoil inherit babi distant rel
Club Dread,serial killer interrupt fun swanki coconut pete coconut beach resort hedonist island paradis swinger club staff stop violenc least hide
Rhythm is it!,rhythm record first big educ project berlin philharmon orchestra sir simon rattl orchestra ventur ivori tower high cultur borough low life sake youngster stranger classic music arduou thrill prepar danc stravinski le sacr du printemp rite spring record breathtak fidel sound film thoma grube enriqu nchez lansch document stage sacr project offer deep insight rehears berlin philharmon orchestra
The Trouble with Harry,troubl erupt small quiet new england town man bodi found wood problem almost everyon town think someth death
Best Defense,wyli lazi engin landri sergeant specialis armour never met live becom entangl landri must take tank wyli design combat wyli wait employ go busi meet anoth engin give disk plan system save employ engin dead moment later leav wyli disk credit design suddenli wyli longer hack saviour compani find life longer
Coma,young woman doctor discov someth sinist go hospit rel healthi patient complic simpl oper end coma patient ship institut look young doctor suspect meet eye
Cinderella,cinderella faith dream better life come true help loyal mice friend wave fairi godmoth wand cinderella rag magic turn gloriou gown goe royal ball clock strike midnight spell broken leav singl glass slipper key ultim fairi tale end
Daylight,group arm robber flee polic head new jersey tunnel run right truck transport toxic wast spectacular explos follow result end tunnel collaps hand peopl surviv explos peril kit latura man skill knowledg lead band survivor tunnel structur collaps
Freeway,follow arrest mother ramona young vanessa lutz decid go search estrang grandmoth way given ride school counselor bob wolverton journey lutz begin realiz bob notori killer manag escap shoot sever time wound still much aliv bob pursu lutz across state modern retel littl red ride hood
The Next Karate Kid,mr miyagi decid take juli troubl teenag wing learn blame parent demis struggl adjust grandmoth fellow pupil
Kate & Leopold,scientist ex boyfriend discov portal travel time bring back centuri nobleman name leopold prove skeptic kate reluctantli take respons show leopold centuri time kate spend leopold harder fall return time absenc forev alter histori
The Omega Man,due experiment vaccin dr robert nevil human survivor apocalypt war wage biolog weapon besid hundr deform nocturn peopl remain sensit light homicid psychot
Local Hero,american oil compani send man scotland buy entir villag want build refineri thing go expect
The Secret Garden,young british girl born rear india lose neglect parent earthquak return england live uncl castl uncl distant due loss wife ten year neglect begin explor estat discov garden lock neglect aid one servant boy begin restor garden eventu discov secret manor
Anacondas: The Hunt for the Blood Orchid,blood orchid rare flower could hold secret etern life worth fortun compani find led pharmaceut research team scientif expedit set explor deep jungl borneo locat bring back sampl legendari plant battl rainstorm make way upriv group encount poison insect feroci crocodil discov stalk even greater danger gather giant anaconda heat sens fifti foot long flesh eater go anyon cross path
Aladdin and the King of Thieves,legendari secret reveal aladdin friend jasmin abu carpet cours alway entertain geni face sort terrifi threat make excit last minut escap pursu king thiev villain crew
My Beautiful Laundrette,british pakistani man renov rundown laundrett male lover deal drama within famili local pakistani commun persist mob skinhead
Shadow of Fear,overview found
The Care Bears Movie,care bear work cut nicola lone magician assist fall evil influenc bad spirit live ancient magic book seem nicola anyth friend asid nicola kim jason troubl start trust peopl suffer mani disappoint
The Meteor Man,one night jefferson reed get hit chest soup chunk meteor fli scare height master inform book thirti second friend famili want protect commun dread golden lord
Hellraiser: Hellseeker,kirsti cotten grown marri memori event took place back parent home mental institut dim still traumat fatal car crash kill kirsti husband find strang world full sexi women greed murder make believ hell
A Cinderella Story,routin exploit wick stepmoth downtrodden samantha montgomeri excit prospect meet internet beau school halloween danc
Fatherland,fiction account might happen hitler war germani war crime far kept secret hitler want talk peac us presid american journalist german homicid cop stumbl plot destroy evid genocid
Seed of Chucky,chucki tiffani resurrect innoc son glen hit hollywood movi depict killer doll murder spree underway
Wedding For One,overview found
Psycho,young femal embezzl arriv bate motel terribl secret although version color featur differ cast set closer shot shot remak remak gu van sant often copi hitchcock camera movement edit joseph stefano script mostli carri bernard herrmann music score reus well though new arrang danni elfman record stereo
Hellboy II: The Golden Army,hellboy must stop elven princ locat ancient forc destroy human power golden armi
Frei:Gespielt - Mehmet Scholl - Über das Spiel hinaus,overview found
A Room with a View,luci honeychurch chaperon charlott bartlett find florenc room without view fellow guest mr emerson son georg step remedi situat meet emerson could chang luci life forev back england experi tuscani affect marriag plan
Hard Rain,get swept action armor car driver christian slater tri elud gang thiev led morgan freeman flood ravag countrysid hard rain wild thrill chill action ride fill close call uncertain loyalti heart stop heroic
Far and Away,young man leav ireland landlord daughter troubl father dream own land big giveaway oklahoma ca get new land find job begin save money man becom local barehand boxer ride glori beaten employ steal coupl money must fight starvat winter tri keep dream own land aliv meanwhil woman parent find gone come america find take back
Meet Dave,crew miniatur alien oper spaceship human form tri save planet alien encount new problem ship becom smitten earth woman
Tutmosis,overview found
Halloween II,fail kill stubborn survivor lauri take bullet six former psychiatrist dr sam loomi michael myer follow lauri haddonfield memori hospit admit myer attempt life institut prove particularli suit serial killer howev myer cut stab slash way hospit staff reach favorit victim
Harold & Kumar Go to White Castle,nerdi account harold irrepress friend kumar get stone watch televis find utterli bewitch commerci white castl convinc must one nearbi two set late night odyssey take deep new jersey somehow boy manag run afoul redneck cop even car steal neil patrick harri get anywher near belov slider
Nanny McPhee,widow cedric brown hire nanni mcphee care seven rambuncti children chase away previou nanni taunt simon sibl nanni mcphee use mystic power instil disciplin children great aunt benefactor ladi adelaid stitch threaten separ kid famili pull togeth guidanc nanni mcphee
Freddy's Dead: The Final Nightmare,thought safe sleep freddi krueger return sixth instal nightmar elm street film psychologist maggi burrough torment recur nightmar meet patient horrif dream quest answer lead certain hous elm street nightmar becom realiti
Cocoon: The Return,reinvigor elderli group left earth come back visit rel decid go back planet one grow old tempt remain earth
The Cannonball Run,cross countri road race base actual event cannonbal baker sea shine sea memori trophi dash organ brock yate protest mph speed limit effect u cannonbal name erwin g cannonbal baker roar rode motorcycl across countri mani charact base ruse develop real cannonbal racer sever year event run
A League of Their Own,america stock athlet young men deplet world war ii profession femal basebal leagu spring midwest fund public hungri candi maker walter harvey garri marshal competit sister dotti hinson geena davi kit keller lori petti spar scout erni capadino jon lovitz grumpi coach jimmi dugan tom hank way fame madonna rosi donnel co star two sister teammat
Paper Moon,great depress con man find saddl young girl may may daughter two forg unlik partnership
Birdy,two young men serious affect vietnam war one alway obsess bird believ realli bird sent mental hospit friend help pull
The Howling,bizarr near fatal encount serial killer newswoman sent rehabilit center whose inhabit may seem
Something Wild,free spirit woman kidnap yuppi weekend adventur fun quickli take danger turn ex con husband show
Bananas,bumbl new yorker dump activist girlfriend travel tini latin american nation becom involv latest rebellion
9/11,scene documentari follow event septemb insid view len two french filmmak simpli set make movi rooki nyc fireman end film tragic event chang live forev
Mystery Train,memphi tennesse cours singl night arcad hotel run eccentr night clerk clueless bellboy visit young japanes coupl travel search root rock italian woman mourn stumbl upon flee charlatan girl comic trio accident thiev look place hide
Extreme Measures,guy luthan british doctor work hospit new york start make unwelcom enquiri bodi man die emerg room disappear trail lead luthan door emin surgeon hospit luthan soon find extrem danger peopl want hospit secret remain undiscov
The World According to Garp,base john irv novel film chronicl life garp mother jenni whilst garp see seriou writer jenni write feminist manifesto opportun time find magnet manner distress women
The Hotel New Hampshire,film talk famili weather sort disast keep go spite note wonder assort oddbal charact
Hardware,mark govern built kill machin program artifici intellig abl repair recharg energi sourc seri coincid cyborg head end home sculptress bizarr christma present boyfriend insid new home cyborg promptli reconstruct rest bodi use varieti household utensil proce go murder rampag
City Slickers II: The Legend of Curly's Gold,mitch robbin birthday begin quit well return home find brother glen black sheep famili sofa nevertheless wonder birthday night wife discov treasur map curli chanc togeth phil unfortun glen tri find hidden gold curli father desert arizona
Hearts in Atlantis,widow mother son chang mysteri stranger enter live
Koyaanisqatsi,take us locat around us show us heavi toll modern technolog human earth visual tone poem contain neither dialogu vocal narrat tone set juxtaposit imag except music philip glass
Macbeth,scotland centuri driven twist propheci three witch ruthless ambit wife warlord macbeth bold brave also weak hesit betray good king brother arm sink bloodi mud path return sown crime suspicion
My Girl 2,vada sultenfuss holiday come assign essay someon admir never met decid want assign mother quickli realis know littl manag get father agre let go la stay uncl phil research mother
The Madness of King George,king georg iii errat behaviour lead plot parliament declar insan remov throne
The Rescuers,two littl mice possibl save orphan girl fallen evil hand littl cooper faith oneself anyth possibl member mous run intern rescu aid societi bernard miss bianca respond orphan penni call help two mice search clue help old cat name rufu
Seven Pounds,ir agent fate secret embark extraordinari journey redempt forev chang live seven stranger
Public Enemies,depress era bank robber john dilling charm audac endear much america downtrodden public also thorn side j edgar hoover fledgl fbi desper captur elus outlaw hoover make dilling first public enemi number one assign top agent melvin purvi task bring dead aliv
The Informant!,rise star agri industri giant archer daniel midland adm mark whitacr suddenli turn whistleblow even expos compani multi nation price fix conspiraci fbi whitacr envis hail hero common man hand promot
Shutter Island,world war ii soldier turn u marshal teddi daniel investig disappear patient hospit crimin insan effort compromis troubl vision also mysteri doctor
Tommy,psychosomat deaf dumb blind boy becom master pinbal player object religi cult
Midnight Express,billi hay caught attempt smuggl drug turkey turkish court decid make exampl sentenc year prison hay two opportun releas appeal made lawyer famili american govern midnight express
Runaway Jury,juror insid woman outsid manipul court trial involv major gun manufactur
The Old Man and the Sea,santiago age luck cuban fisherman catch noth nearli month hook huge marlin struggl land far gulf stream
8 ½ Women,death wife wealthi businessman philip emmenth son storey open privat harem famili resid geneva get idea watch federico fellini storey given woman simato inoh waiv pachinko debt sign one year contract eight half women effect women gimmick one nun anoth kabuki perform etc philip soon becom domin favourit concubin palmira interest storey lover despit contract might stipul philip die concubin contract expir storey left alon giulietta titular play fujiwara cours money hous
Popeye,popey super strong spinach scarf sailor man search father storm wreck ship popey wash ashor wind room oyl household meet oliv win heart must first contend oliv fianc bluto
The Dead Zone,johnni smith schoolteach whole life ahead leav fiance home one night involv car crash leav coma year wake discov abil see past present futur life anyon come physic contact
Stardust Memories,attend retrospect work filmmak recal life love inspir film
Into the Night,ed okin use bore life use troubl get sleep one night met diana ed troubl stay aliv
Warlock,centuri new england witch hunter gile redfern captur evil warlock conjur elud death supernatur help flung futur warlock wind plan bring end world redfern follow enchant modern era continu mission run troubl unfamiliar surround help young woman redfern final defeat warlock
The Zodiac,elus serial killer known zodiac terror san francisco bay late detect aim stop claim victim base true stori
The Lair of the White Worm,remot corner england peak district mysteri skull unearth even weirder ladi sylvia steal skull use worship erot pagan god white worm hunger tast virgin flesh
Fragile,haunt memori patient death nurs take job antiqu hospit children soon learn kid fear ghost prowl floor allow anyon leav ami tri protect convinc staffer evil lurk
Cape Fear,sam bowden wit rape commit max cadi testifi releas year prison cadi begin stalk bowden famili alway clever enough violat law
Jeepers Creepers 2,horrifi day gorg human flesh ancient creatur known creeper embark final voraci feed frenzi terror group varsiti basketbal player cheerlead coach strand remot highway bu break terrifi group forc come togeth battl wing creatur hell bent complet grizzli ritual
Always,pete sandich reckless fire fight pilot kill final mission ascend heaven pete introduc busi like angel instruct spectral pete pass aviat knowledg young successor pete also smooth cours romanc earthli girlfriend sever month griev final fall love anoth man
Bowfinger,verg bankruptci desper big break aspir filmmak bobbi bowfing concoct crazi plan make ultim dream movi ralli ragtag team includ starri eye ingenu diva film studio gofer set shoot blockbust featur biggest star hollywood kit ramsey without let ramsey know pictur
The Upside of Anger,husband run secretari terri wolfmey left fend four daughter hit rock bottom terri find friend drink buddi next door neighbor denni former basebal player two grow closer daughter increasingli reli denni terri start reserv relationship head
Never Been Kissed,josi geller babi face junior copywrit chicago sun time must pose student former high school research contemporari teenag cultur help brother rob josi infiltr inner circl popular cliqu campu hit major snag investig mention fail love life fall dreami english teacher sam coulson
The Odd Couple,new york felix neurot news writer broke wife urg chaotic friend oscar sport journalist move lifestyl differ night day felix idea housekeep soon begin irrit oscar
Halloween 4: The Return of Michael Myers,appar comatos michael myer transfer one hospit anoth wake ambul crew talk surviv niec jami slaughter attend myer set find one live rel fortun care kind resourc foster sister name rachel meanwhil ever cautiou dr loomi remain killer path
Walking Tall,former u soldier return hometown find overrun crime corrupt prompt clean hous
The Indian in the Cupboard,nine year old boy get plastic indian cupboard birthday find involv adventur indian come life befriend
Dumbo,dumbo babi eleph born size ear suprem lack confid thank even diminut buddi timothi mous pint size pachyderm learn surmount obstacl
Halloween 5: The Revenge of Michael Myers,presum dead shoot haddonfield polic michael myer secretli nurs back health return year later kill target young niec jami jami recov local children hospit attack stepmoth lose voic mental link evil uncl may key uproot famili tree
The Count of Monte Cristo,edmond dant life plan marri beauti merced shatter best friend fernand deceiv spend miser year prison dant escap help fellow inmat plot reveng cleverli insinu french nobil
She's the One,mickey free spirit new york cabbi franci materialist wall street stockbrok extrem competit confus women result father influenc though disagre everyth one thing common mickey ex fianc heather franci secret love though brother beauti wive heather trigger longtim sibl rivalri
Regarding Henry,respect lawyer henri turner surviv conveni store shoot find lost memori seriou speech mobil issu also lose job longer fit love wife daughter give love support
Wilde,stori oscar wild geniu poet playwright first modern man self realis homosexu caus wild enorm torment juggl marriag fatherhood respons obsess love lord alfr dougla
Blood Simple,owner seedi small town texa bar discov one employe affair wife chaotic chain misunderstand lie mischief ensu devis plot murder
The Musketeer,peter hyam adapt famou alexand duma stori three musket young artagnan seek join legendari musket brigad aveng father death find musket disband
The Score,age thief hope retir live ill gotten wealth young kid convinc one last heist
The Eagle Has Landed,nazi high command learn late winston churchil spend time countri estat norfolk hatch audaci scheme kidnap prime minist spirit germani enforc negoti hitler
Edtv,video store clerk ed agre life film camera crew tv network
Hollywood Homicide,joe gavilan harrison ford new partner k c calden josh hartnett detect beat tinseltown neither one realli want cop gavilan moonlight real estat broker calden aspir actor moonlight yoga instructor two assign big case must work whether want solv case follow heart
The Pool,school exam time real life begin friend intern high school pragu disappear four corner earth intend throw best parti live idea stage parti pragu biggest swim pool illeg cool gregor laid back leader group think idea good one els group object begin night night quickli turn life death struggl friend come realis death guest list mysteri mask killer set hunt motion rang facil hall corridor kid panic begin dawn killer must one
House on Haunted Hill,remak film name millionair offer group divers peopl spend night haunt hous horrifi past
The Adventures of Buckaroo Banzai Across the 8th Dimension,adventur surgeon rock musician buckaroo banzai band men hong kong cavali take evil alien invad dimens
Bones,year death gunshot jimmi bone come back ghost wreak reveng kill clean neighborhood
Tommy Boy,save famili busi two ne er well travel salesmen hit road disastr funni consequ
Bullets Over Broadway,young playwright david shayn obtain fund play gangster nick valenti nick girlfriend oliv miracul land role psychiatrist bimbo could never pass psychiatrist dread actress david put lead man compuls eater grand dame want part jazz oliv interf hitman bodyguard eventu must decid whether art life import
The Living Desert,live desert first featur length film disney true life adventur seri documentari focus zoolog studi previou film seri includ academi award win seal island short subject documentari film westward look wyndham grand resort spa tucson arizona wildlif shown film donat would soon becom arizona sonora desert museum film inspir minut footag shot n paul kenworthi jr doctor student univers california lo angel kenworthi footag battl tarantula wasp intrigu disney fund featur length product follow live divers desert speci disney highli support kenworthi work impact nonfict filmmak state tell real sustain stori first time natur pictur
The Hard Way,seek rais credibl actor land role tough cop new show hollywood action star nick lang work deal new york citi polic capt brix chanc one fan nick pair detect lt john moss learn act like real cop nick drive john crazi question imit get way john pursuit serial killer
Hatari!,group men trap wild anim africa sell zoo arriv femal wildlif photograph chang way
The Crying Game,irish republican armi member fergu form unexpect bond jodi kidnap british soldier custodi despit warn fellow ira member jude maguir jodi make fergu promis visit girlfriend dil london fergu flee citi seek hound former ira colleagu find increasingli drawn enigmat surpris dil
Lord Jim,discredit coward centuri seaman peter tool live one purpos redeem base joseph conrad novel written
Stay Cool,film center success author forc confront unrequit high school crush return home deliv commenc address graduat senior shasta neil sexi high school senior flirt visit author invit prom
The Natural,unknown middl age batter name roy hobb mysteri past appear nowher take lose basebal team top leagu
The Santa Clause,scott calvin ordinari man accident caus santa clau fall roof christma eve knock unconsci young son finish santa trip deliveri go north pole scott learn must becom new santa convinc love inde father christma
Not Another Teen Movie,bet gridiron hero john hugh high school set turn bespectacl plain jane beauti popular prom queen outrag send teen movi
